date,confirmed,deaths
3/17/2021,624200,19648
3/18/2021,628022,19732
3/19/2021,631536,19808
3/20/2021,635883,19871
3/21/2021,638145,19912
3/22/2021,641601,19981
3/23/2021,645563,20019
3/24/2021,651096,20102
3/25/2021,654562,20167
3/26/2021,660204,20230
3/27/2021,664004,20317
3/28/2021,667632,20406
3/29/2021,668925,20471
3/30/2021,671414,20544
3/31/2021,674868,20625
4/1/2021,680330,20682
4/2/2021,682756,20745
4/3/2021,684385,20875
4/4/2021,686554,20973
4/5/2021,689177,21089
4/6/2021,691586,21207
4/7/2021,694915,21341
4/8/2021,699037,21451
4/9/2021,703154,21576
4/10/2021,708093,21724
4/11/2021,711139,21811
4/12/2021,713576,21949
4/13/2021,715919,22051
4/14/2021,718688,22159
4/15/2021,724124,22276
4/16/2021,726712,22400
4/17/2021,729767,22521
4/18/2021,732173,22683
4/19/2021,732960,22803
4/20/2021,738827,22958
4/21/2021,741719,23086
4/22/2021,744073,23216
4/23/2021,748548,23353
4/24/2021,751277,23507
4/25/2021,753747,23602
4/26/2021,756715,23715
4/27/2021,758957,23862
4/28/2021,761675,23972
4/29/2021,765252,24094
4/30/2021,767629,24224
5/1/2021,769602,24326
5/2/2021,771475,24415
5/3/2021,773058,24508
5/4/2021,774553,24601
5/5/2021,776278,24811
5/6/2021,779382,24900
5/7/2021,781581,25014
5/8/2021,783166,25100
5/9/2021,784672,25190
5/10/2021,785982,25282
5/11/2021,787436,25382
