region,region_orig,date,confirmed,deaths
15,15,3/19/2020,194,3
15,15,3/20/2020,212,4
15,15,3/21/2020,241,4
20,20,3/21/2020,18,1
15,15,3/22/2020,278,4
20,20,3/22/2020,19,1
15,15,3/23/2020,307,4
20,20,3/23/2020,19,1
13,13,3/24/2020,5,1
15,15,3/24/2020,322,5
20,20,3/24/2020,19,1
8,8,3/25/2020,10,1
13,13,3/25/2020,6,1
15,15,3/25/2020,369,6
20,20,3/25/2020,19,1
8,8,3/26/2020,10,1
13,13,3/26/2020,9,1
15,15,3/26/2020,453,6
20,20,3/26/2020,20,1
8,8,3/27/2020,10,1
13,13,3/27/2020,9,2
15,15,3/27/2020,494,7
20,20,3/27/2020,20,1
7,7,3/28/2020,18,1
8,8,3/28/2020,11,2
13,13,3/28/2020,10,2
14,14,3/28/2020,15,1
15,15,3/28/2020,518,9
20,20,3/28/2020,20,1
2,2,3/29/2020,6,1
7,7,3/29/2020,29,1
8,8,3/29/2020,17,2
13,13,3/29/2020,13,2
14,14,3/29/2020,22,1
15,15,3/29/2020,639,10
20,20,3/29/2020,21,1
2,2,3/30/2020,11,1
13,13,3/31/2020,19,2
14,14,3/31/2020,30,1
15,15,3/31/2020,799,16
16,16,3/31/2020,58,2
20,20,3/31/2020,21,1
22,22,3/31/2020,6,1
24,24,3/31/2020,10,1
2,2,4/1/2020,15,1
4,4,4/1/2020,30,1
7,7,4/1/2020,37,4
8,8,4/1/2020,34,2
13,13,4/1/2020,32,3
14,14,4/1/2020,34,3
15,15,4/1/2020,990,28
16,16,4/1/2020,66,2
20,20,4/1/2020,26,1
22,22,4/1/2020,6,1
24,24,4/1/2020,13,1
2,2,4/2/2020,15,1
4,4,4/2/2020,30,1
7,7,4/2/2020,40,4
8,8,4/2/2020,38,2
12,12,4/2/2020,17,1
13,13,4/2/2020,34,3
14,14,4/2/2020,37,3
15,15,4/2/2020,1059,34
16,16,4/2/2020,72,2
20,20,4/2/2020,27,1
22,22,4/2/2020,6,1
24,24,4/2/2020,15,2
2,2,4/3/2020,18,1
4,4,4/3/2020,37,1
7,7,4/3/2020,59,4
8,8,4/3/2020,44,3
12,12,4/3/2020,19,1
13,13,4/3/2020,44,4
14,14,4/3/2020,35,2
15,15,4/3/2020,1179,39
16,16,4/3/2020,84,2
20,20,4/3/2020,27,1
22,22,4/3/2020,6,1
24,24,4/3/2020,16,2
2,2,4/4/2020,18,1
4,4,4/4/2020,37,2
7,7,4/4/2020,64,5
8,8,4/4/2020,48,3
11,11,4/4/2020,9,1
12,12,4/4/2020,25,1
13,13,4/4/2020,50,4
14,14,4/4/2020,55,3
15,15,4/4/2020,1257,46
16,16,4/4/2020,106,2
20,20,4/4/2020,27,1
22,22,4/4/2020,8,1
24,24,4/4/2020,20,3
2,2,4/5/2020,23,1
4,4,4/5/2020,51,3
7,7,4/5/2020,89,8
8,8,4/5/2020,52,3
9,9,4/5/2020,1,1
11,11,4/5/2020,14,1
12,12,4/5/2020,25,1
13,13,4/5/2020,50,4
14,14,4/5/2020,100,3
15,15,4/5/2020,1639,51
16,16,4/5/2020,143,2
20,20,4/5/2020,29,1
22,22,4/5/2020,8,1
24,24,4/5/2020,26,3
2,2,4/6/2020,27,1
4,4,4/6/2020,60,4
7,7,4/6/2020,109,8
8,8,4/6/2020,54,3
9,9,4/6/2020,2,1
11,11,4/6/2020,18,1
12,12,4/6/2020,28,1
13,13,4/6/2020,56,5
14,14,4/6/2020,100,3
15,15,4/6/2020,1837,58
16,16,4/6/2020,171,2
20,20,4/6/2020,30,1
22,22,4/6/2020,8,1
24,24,4/6/2020,26,3
2,2,4/7/2020,36,1
4,4,4/7/2020,66,4
7,7,4/7/2020,161,10
8,8,4/7/2020,54,3
9,9,4/7/2020,7,1
11,11,4/7/2020,24,2
12,12,4/7/2020,28,1
13,13,4/7/2020,58,5
14,14,4/7/2020,108,4
15,15,4/7/2020,2100,65
16,16,4/7/2020,206,3
20,20,4/7/2020,35,3
22,22,4/7/2020,8,1
24,24,4/7/2020,27,4
2,2,4/8/2020,50,4
4,4,4/8/2020,74,5
7,7,4/8/2020,320,2
8,8,4/8/2020,54,3
9,9,4/8/2020,7,1
11,11,4/8/2020,28,3
12,12,4/8/2020,42,3
13,13,4/8/2020,82,5
14,14,4/8/2020,246,4
15,15,4/8/2020,3016,72
16,16,4/8/2020,290,13
20,20,4/8/2020,41,1
22,22,4/8/2020,11,1
24,24,4/8/2020,27,4
2,2,4/9/2020,57,4
4,4,4/9/2020,77,4
7,7,4/9/2020,413,16
8,8,4/9/2020,55,3
9,9,4/9/2020,7,1
11,11,4/9/2020,34,2
12,12,4/9/2020,42,1
13,13,4/9/2020,96,6
14,14,4/9/2020,302,6
15,15,4/9/2020,3704,82
16,16,4/9/2020,315,5
20,20,4/9/2020,53,3
22,22,4/9/2020,15,1
24,24,4/9/2020,27,4
2,2,4/10/2020,67,4
4,4,4/10/2020,83,4
7,7,4/10/2020,465,16
8,8,4/10/2020,57,3
9,9,4/10/2020,7,1
11,11,4/10/2020,37,2
12,12,4/10/2020,56,1
13,13,4/10/2020,101,6
14,14,4/10/2020,302,32
15,15,4/10/2020,4210,87
16,16,4/10/2020,315,5
20,20,4/10/2020,68,3
22,22,4/10/2020,18,1
24,24,4/10/2020,27,4
2,2,4/11/2020,88,5
4,4,4/11/2020,85,4
7,7,4/11/2020,541,16
8,8,4/11/2020,58,3
9,9,4/11/2020,7,1
11,11,4/11/2020,47,2
12,12,4/11/2020,58,1
13,13,4/11/2020,108,6
14,14,4/11/2020,326,33
15,15,4/11/2020,4933,94
16,16,4/11/2020,315,6
20,20,4/11/2020,91,5
22,22,4/11/2020,20,1
24,24,4/11/2020,68,4
2,2,4/14/2020,124,5
4,4,4/14/2020,99,5
7,7,4/14/2020,908,20
8,8,4/14/2020,106,3
9,9,4/14/2020,10,1
11,11,4/14/2020,76,2
12,12,4/14/2020,68,1
13,13,4/14/2020,166,7
14,14,4/14/2020,427,44
15,15,4/14/2020,7476,114
16,16,4/14/2020,357,9
20,20,4/14/2020,224,14
22,22,4/14/2020,23,1
24,24,4/14/2020,69,4
2,2,4/15/2020,144,5
4,4,4/15/2020,98,5
6,6,4/15/2020,20,1
7,7,4/15/2020,939,24
8,8,4/15/2020,108,3
9,9,4/15/2020,11,1
11,11,4/15/2020,101,2
12,12,4/15/2020,79,1
13,13,4/15/2020,184,7
14,14,4/15/2020,428,53
15,15,4/15/2020,8412,117
16,16,4/15/2020,396,10
20,20,4/15/2020,229,14
22,22,4/15/2020,48,1
24,24,4/15/2020,82,10
2,2,4/16/2020,171,5
4,4,4/16/2020,111,5
6,6,4/16/2020,22,1
7,7,4/16/2020,1008,27
8,8,4/16/2020,109,3
9,9,4/16/2020,11,1
11,11,4/16/2020,106,2
12,12,4/16/2020,79,1
13,13,4/16/2020,193,9
14,14,4/16/2020,571,54
15,15,4/16/2020,9107,129
16,16,4/16/2020,412,10
20,20,4/16/2020,233,14
22,22,4/16/2020,47,1
24,24,4/16/2020,85,10
25,25,4/16/2020,49,2
2,2,4/17/2020,189,13
4,4,4/17/2020,134,5
6,6,4/17/2020,38,2
7,7,4/17/2020,1080,27
8,8,4/17/2020,112,3
9,9,4/17/2020,17,1
11,11,4/17/2020,119,2
12,12,4/17/2020,101,1
13,13,4/17/2020,194,16
14,14,4/17/2020,600,63
15,15,4/17/2020,9793,129
16,16,4/17/2020,431,10
20,20,4/17/2020,264,15
22,22,4/17/2020,49,1
24,24,4/17/2020,86,10
25,25,4/17/2020,56,2
2,2,4/18/2020,217,13
4,4,4/18/2020,146,5
6,6,4/18/2020,52,2
7,7,4/18/2020,1180,34
8,8,4/18/2020,123,3
9,9,4/18/2020,18,1
11,11,4/18/2020,124,6
12,12,4/18/2020,130,1
13,13,4/18/2020,211,16
14,14,4/18/2020,642,75
15,15,4/18/2020,10234,144
16,16,4/18/2020,485,10
20,20,4/18/2020,344,24
22,22,4/18/2020,81,1
24,24,4/18/2020,86,10
25,25,4/18/2020,73,3
2,2,4/19/2020,251,16
4,4,4/19/2020,192,5
6,6,4/19/2020,61,2
7,7,4/19/2020,1239,34
8,8,4/19/2020,130,3
9,9,4/19/2020,20,1
11,11,4/19/2020,141,6
12,12,4/19/2020,150,1
13,13,4/19/2020,232,17
14,14,4/19/2020,671,81
15,15,4/19/2020,10877,169
16,16,4/19/2020,552,14
20,20,4/19/2020,420,37
22,22,4/19/2020,94,1
24,24,4/19/2020,183,10
25,25,4/19/2020,97,3
2,2,4/20/2020,275,19
4,4,4/20/2020,229,8
6,6,4/20/2020,62,2
7,7,4/20/2020,1282,35
8,8,4/20/2020,130,3
9,9,4/20/2020,21,1
11,11,4/20/2020,145,6
12,12,4/20/2020,155,1
13,13,4/20/2020,253,17
14,14,4/20/2020,675,89
15,15,4/20/2020,11297,199
16,16,4/20/2020,585,14
20,20,4/20/2020,436,37
22,22,4/20/2020,94,1
24,24,4/20/2020,184,10
25,25,4/20/2020,120,3
2,2,4/21/2020,334,23
4,4,4/21/2020,273,8
6,6,4/21/2020,73,2
7,7,4/21/2020,1369,36
8,8,4/21/2020,132,3
9,9,4/21/2020,16,1
11,11,4/21/2020,195,6
12,12,4/21/2020,178,1
13,13,4/21/2020,303,17
14,14,4/21/2020,741,90
15,15,4/21/2020,12256,227
16,16,4/21/2020,617,19
20,20,4/21/2020,475,37
22,22,4/21/2020,100,1
24,24,4/21/2020,198,10
25,25,4/21/2020,149,3
2,2,4/22/2020,365,26
4,4,4/22/2020,276,8
6,6,4/22/2020,78,2
7,7,4/22/2020,1416,39
8,8,4/22/2020,147,3
9,9,4/22/2020,19,1
11,11,4/22/2020,213,6
12,12,4/22/2020,207,1
13,13,4/22/2020,318,17
14,14,4/22/2020,864,97
15,15,4/22/2020,13214,247
16,16,4/22/2020,653,23
19,19,4/22/2020,46,1
20,20,4/22/2020,514,45
22,22,4/22/2020,107,1
24,24,4/22/2020,205,10
25,25,4/22/2020,172,3
2,2,4/23/2020,352,28
4,4,4/23/2020,291,8
6,6,4/23/2020,90,2
7,7,4/23/2020,1536,39
8,8,4/23/2020,158,3
9,9,4/23/2020,21,1
11,11,4/23/2020,248,6
12,12,4/23/2020,206,1
13,13,4/23/2020,391,17
14,14,4/23/2020,968,111
15,15,4/23/2020,14300,267
16,16,4/23/2020,700,23
19,19,4/23/2020,48,1
20,20,4/23/2020,568,45
22,22,4/23/2020,111,1
24,24,4/23/2020,233,16
25,25,4/23/2020,210,3
2,2,4/24/2020,361,29
4,4,4/24/2020,311,10
6,6,4/24/2020,92,2
7,7,4/24/2020,1591,40
8,8,4/24/2020,160,3
9,9,4/24/2020,23,1
10,10,4/24/2020,116,1
11,11,4/24/2020,258,6
12,12,4/24/2020,219,4
13,13,4/24/2020,410,23
14,14,4/24/2020,974,119
15,15,4/24/2020,14814,290
16,16,4/24/2020,708,29
19,19,4/24/2020,61,1
20,20,4/24/2020,585,45
22,22,4/24/2020,117,1
24,24,4/24/2020,234,19
25,25,4/24/2020,226,11
2,2,4/25/2020,464,33
4,4,4/25/2020,364,10
6,6,4/25/2020,105,2
7,7,4/25/2020,2436,44
8,8,4/25/2020,174,3
9,9,4/25/2020,33,1
10,10,4/25/2020,160,1
11,11,4/25/2020,268,6
12,12,4/25/2020,257,4
13,13,4/25/2020,481,23
14,14,4/25/2020,1388,119
15,15,4/25/2020,16567,303
16,16,4/25/2020,742,36
19,19,4/25/2020,68,1
20,20,4/25/2020,669,79
22,22,4/25/2020,121,1
23,23,4/25/2020,67,1
24,24,4/25/2020,240,19
25,25,4/25/2020,323,14
2,2,4/26/2020,506,35
4,4,4/26/2020,396,10
6,6,4/26/2020,128,2
7,7,4/26/2020,2615,44
8,8,4/26/2020,182,3
9,9,4/26/2020,40,1
11,11,4/26/2020,284,6
12,12,4/26/2020,284,4
13,13,4/26/2020,503,23
14,14,4/26/2020,1602,143
15,15,4/26/2020,17884,303
16,16,4/26/2020,786,39
19,19,4/26/2020,78,1
20,20,4/26/2020,790,79
22,22,4/26/2020,151,1
23,23,4/26/2020,68,1
24,24,4/26/2020,250,19
25,25,4/26/2020,349,14
2,2,4/27/2020,547,34
4,4,4/27/2020,479,11
6,6,4/27/2020,141,2
7,7,4/27/2020,2672,50
8,8,4/27/2020,196,3
9,9,4/27/2020,48,1
11,11,4/27/2020,339,6
12,12,4/27/2020,290,4
13,13,4/27/2020,553,23
14,14,4/27/2020,1651,149
15,15,4/27/2020,18571,332
16,16,4/27/2020,827,39
19,19,4/27/2020,82,1
20,20,4/27/2020,816,92
22,22,4/27/2020,166,1
23,23,4/27/2020,71,1
24,24,4/27/2020,250,19
25,25,4/27/2020,370,14
2,2,4/28/2020,598,39
4,4,4/28/2020,501,11
6,6,4/28/2020,156,3
7,7,4/28/2020,2933,52
8,8,4/28/2020,202,3
9,9,4/28/2020,57,1
11,11,4/28/2020,353,28
12,12,4/28/2020,331,4
13,13,4/28/2020,585,23
14,14,4/28/2020,1814,159
15,15,4/28/2020,20048,358
16,16,4/28/2020,881,45
19,19,4/28/2020,90,1
20,20,4/28/2020,960,92
22,22,4/28/2020,178,1
23,23,4/28/2020,77,1
24,24,4/28/2020,275,19
25,25,4/28/2020,454,14
2,2,4/29/2020,630,52
4,4,4/29/2020,529,11
6,6,4/29/2020,162,3
7,7,4/29/2020,3101,52
8,8,4/29/2020,203,3
9,9,4/29/2020,75,1
11,11,4/29/2020,401,28
12,12,4/29/2020,373,4
13,13,4/29/2020,615,23
14,14,4/29/2020,1956,172
15,15,4/29/2020,21854,404
16,16,4/29/2020,1003,51
19,19,4/29/2020,95,1
20,20,4/29/2020,1080,103
22,22,4/29/2020,205,1
23,23,4/29/2020,94,1
24,24,4/29/2020,290,19
25,25,4/29/2020,526,14
2,2,4/30/2020,693,56
4,4,4/30/2020,571,11
6,6,4/30/2020,170,3
7,7,4/30/2020,3219,60
8,8,4/30/2020,212,3
9,9,4/30/2020,88,1
11,11,4/30/2020,550,28
12,12,4/30/2020,394,4
13,13,4/30/2020,668,23
14,14,4/30/2020,2176,192
15,15,4/30/2020,23561,437
16,16,4/30/2020,1202,55
19,19,4/30/2020,113,1
20,20,4/30/2020,1207,118
22,22,4/30/2020,238,1
23,23,4/30/2020,111,1
24,24,4/30/2020,310,19
25,25,4/30/2020,671,38
2,2,5/1/2020,822,56
4,4,5/1/2020,624,11
6,6,5/1/2020,201,3
7,7,5/1/2020,3458,60
8,8,5/1/2020,221,3
9,9,5/1/2020,109,1
11,11,5/1/2020,580,41
12,12,5/1/2020,436,4
13,13,5/1/2020,720,23
14,14,5/1/2020,2360,194
15,15,5/1/2020,25718,491
16,16,5/1/2020,1355,57
17,17,5/1/2020,116,1
19,19,5/1/2020,122,1
20,20,5/1/2020,1396,119
22,22,5/1/2020,248,1
23,23,5/1/2020,126,1
24,24,5/1/2020,326,19
25,25,5/1/2020,760,38
1,1,5/2/2020,136,1
2,2,5/2/2020,907,66
4,4,5/2/2020,655,16
6,6,5/2/2020,224,3
7,7,5/2/2020,3543,66
8,8,5/2/2020,221,3
9,9,5/2/2020,133,1
11,11,5/2/2020,584,41
12,12,5/2/2020,451,7
13,13,5/2/2020,798,23
14,14,5/2/2020,2548,220
15,15,5/2/2020,26908,504
16,16,5/2/2020,1425,57
17,17,5/2/2020,118,1
19,19,5/2/2020,148,1
20,20,5/2/2020,1492,131
22,22,5/2/2020,265,1
23,23,5/2/2020,128,1
24,24,5/2/2020,336,19
25,25,5/2/2020,826,38
1,1,5/3/2020,155,1
2,2,5/3/2020,993,77
4,4,5/3/2020,692,16
6,6,5/3/2020,259,3
7,7,5/3/2020,3893,66
8,8,5/3/2020,230,3
9,9,5/3/2020,186,1
11,11,5/3/2020,676,41
12,12,5/3/2020,506,7
13,13,5/3/2020,879,23
14,14,5/3/2020,2646,267
15,15,5/3/2020,28990,517
16,16,5/3/2020,1502,59
17,17,5/3/2020,120,1
19,19,5/3/2020,161,1
20,20,5/3/2020,1618,143
22,22,5/3/2020,282,1
23,23,5/3/2020,141,2
24,24,5/3/2020,347,19
25,25,5/3/2020,913,38
1,1,5/5/2020,170,4
2,2,5/5/2020,1159,85
4,4,5/5/2020,763,18
6,6,5/5/2020,322,3
7,7,5/5/2020,4245,77
8,8,5/5/2020,249,3
9,9,5/5/2020,203,1
10,10,5/5/2020,255,2
11,11,5/5/2020,698,41
12,12,5/5/2020,587,7
13,13,5/5/2020,1062,46
14,14,5/5/2020,3008,299
15,15,5/5/2020,32339,584
16,16,5/5/2020,1595,62
17,17,5/5/2020,124,1
19,19,5/5/2020,166,1
20,20,5/5/2020,1804,149
21,21,5/5/2020,144,1
22,22,5/5/2020,303,1
23,23,5/5/2020,149,2
24,24,5/5/2020,378,19
25,25,5/5/2020,1032,38
1,1,5/6/2020,176,5
2,2,5/6/2020,1256,85
4,4,5/6/2020,790,20
6,6,5/6/2020,301,3
7,7,5/6/2020,4404,82
8,8,5/6/2020,258,3
9,9,5/6/2020,181,1
10,10,5/6/2020,259,7
11,11,5/6/2020,708,41
12,12,5/6/2020,632,14
13,13,5/6/2020,1119,46
14,14,5/6/2020,3127,299
15,15,5/6/2020,35299,613
16,16,5/6/2020,1559,67
17,17,5/6/2020,129,1
19,19,5/6/2020,151,1
20,20,5/6/2020,1914,184
21,21,5/6/2020,149,1
22,22,5/6/2020,317,1
23,23,5/6/2020,160,2
24,24,5/6/2020,443,19
25,25,5/6/2020,1076,38
1,1,5/7/2020,186,7
2,2,5/7/2020,1307,93
4,4,5/7/2020,814,20
6,6,5/7/2020,316,3
7,7,5/7/2020,4678,82
8,8,5/7/2020,280,3
9,9,5/7/2020,176,1
10,10,5/7/2020,293,7
11,11,5/7/2020,860,41
12,12,5/7/2020,655,14
13,13,5/7/2020,1206,67
14,14,5/7/2020,3268,318
15,15,5/7/2020,37606,636
16,16,5/7/2020,1666,67
17,17,5/7/2020,138,1
19,19,5/7/2020,151,1
20,20,5/7/2020,2214,205
21,21,5/7/2020,158,1
22,22,5/7/2020,334,1
23,23,5/7/2020,166,2
24,24,5/7/2020,451,19
25,25,5/7/2020,1169,38
1,1,5/8/2020,207,7
2,2,5/8/2020,1390,106
4,4,5/8/2020,854,20
6,6,5/8/2020,328,3
7,7,5/8/2020,4968,82
8,8,5/8/2020,328,3
9,9,5/8/2020,178,1
10,10,5/8/2020,323,7
11,11,5/8/2020,884,41
12,12,5/8/2020,689,14
13,13,5/8/2020,1275,66
14,14,5/8/2020,3479,347
15,15,5/8/2020,39837,653
16,16,5/8/2020,1704,67
17,17,5/8/2020,139,1
19,19,5/8/2020,158,1
20,20,5/8/2020,2258,233
21,21,5/8/2020,164,1
22,22,5/8/2020,394,2
23,23,5/8/2020,166,2
24,24,5/8/2020,461,19
25,25,5/8/2020,1208,38
1,1,5/9/2020,221,7
2,2,5/9/2020,1472,106
4,4,5/9/2020,904,20
6,6,5/9/2020,351,3
7,7,5/9/2020,5217,119
8,8,5/9/2020,366,3
9,9,5/9/2020,185,1
10,10,5/9/2020,331,7
11,11,5/9/2020,930,41
12,12,5/9/2020,764,14
13,13,5/9/2020,1394,66
14,14,5/9/2020,3628,365
15,15,5/9/2020,41844,662
16,16,5/9/2020,1735,67
17,17,5/9/2020,150,1
19,19,5/9/2020,162,1
20,20,5/9/2020,2388,240
21,21,5/9/2020,164,1
22,22,5/9/2020,428,2
23,23,5/9/2020,171,2
24,24,5/9/2020,478,19
25,25,5/9/2020,1255,67
1,1,5/10/2020,237,8
2,2,5/10/2020,1507,106
4,4,5/10/2020,1046,20
6,6,5/10/2020,362,3
7,7,5/10/2020,5360,119
8,8,5/10/2020,407,3
9,9,5/10/2020,193,1
10,10,5/10/2020,333,7
11,11,5/10/2020,1003,41
12,12,5/10/2020,798,14
13,13,5/10/2020,1449,66
14,14,5/10/2020,3655,376
15,15,5/10/2020,43284,672
16,16,5/10/2020,1780,75
17,17,5/10/2020,162,1
19,19,5/10/2020,167,1
20,20,5/10/2020,2425,257
21,21,5/10/2020,166,1
22,22,5/10/2020,466,3
23,23,5/10/2020,178,2
24,24,5/10/2020,486,47
25,25,5/10/2020,1329,66
1,1,5/11/2020,242,8
2,2,5/11/2020,1521,106
4,4,5/11/2020,1061,20
6,6,5/11/2020,367,3
7,7,5/11/2020,5400,119
8,8,5/11/2020,410,3
9,9,5/11/2020,200,1
10,10,5/11/2020,335,7
11,11,5/11/2020,1019,58
12,12,5/11/2020,839,14
13,13,5/11/2020,1470,66
14,14,5/11/2020,3748,400
15,15,5/11/2020,44333,689
16,16,5/11/2020,1834,78
17,17,5/11/2020,162,1
19,19,5/11/2020,168,1
20,20,5/11/2020,2483,265
21,21,5/11/2020,173,1
22,22,5/11/2020,473,6
23,23,5/11/2020,178,2
24,24,5/11/2020,496,47
25,25,5/11/2020,1392,66
1,1,5/12/2020,249,11
2,2,5/12/2020,1553,106
4,4,5/12/2020,1208,20
6,6,5/12/2020,375,3
7,7,5/12/2020,5584,119
8,8,5/12/2020,442,3
9,9,5/12/2020,203,1
10,10,5/12/2020,341,7
11,11,5/12/2020,1132,82
12,12,5/12/2020,855,14
13,13,5/12/2020,1566,66
14,14,5/12/2020,3856,400
15,15,5/12/2020,46507,725
16,16,5/12/2020,1933,82
17,17,5/12/2020,163,1
19,19,5/12/2020,171,1
20,20,5/12/2020,2598,294
21,21,5/12/2020,180,1
22,22,5/12/2020,489,6
23,23,5/12/2020,178,2
24,24,5/12/2020,507,47
25,25,5/12/2020,1437,66
1,1,5/13/2020,259,11
2,2,5/13/2020,1620,119
4,4,5/13/2020,1301,20
6,6,5/13/2020,393,3
7,7,5/13/2020,5851,125
8,8,5/13/2020,496,3
9,9,5/13/2020,214,1
10,10,5/13/2020,359,7
11,11,5/13/2020,1232,82
12,12,5/13/2020,890,14
13,13,5/13/2020,1623,66
14,14,5/13/2020,3950,417
15,15,5/13/2020,49605,791
16,16,5/13/2020,2037,92
17,17,5/13/2020,172,1
19,19,5/13/2020,173,1
20,20,5/13/2020,2693,294
21,21,5/13/2020,185,1
22,22,5/13/2020,505,6
23,23,5/13/2020,181,2
24,24,5/13/2020,539,47
25,25,5/13/2020,1486,66
1,1,5/14/2020,269,11
2,2,5/14/2020,1698,119
4,4,5/14/2020,1393,20
6,6,5/14/2020,406,3
7,7,5/14/2020,6199,143
8,8,5/14/2020,523,3
9,9,5/14/2020,214,1
10,10,5/14/2020,375,7
11,11,5/14/2020,1269,95
12,12,5/14/2020,954,14
13,13,5/14/2020,1711,66
14,14,5/14/2020,4147,417
15,15,5/14/2020,52545,817
16,16,5/14/2020,2107,95
17,17,5/14/2020,177,3
19,19,5/14/2020,179,1
20,20,5/14/2020,2830,313
21,21,5/14/2020,189,1
22,22,5/14/2020,549,6
23,23,5/14/2020,187,2
24,24,5/14/2020,557,59
25,25,5/14/2020,1542,71
1,1,5/15/2020,270,11
2,2,5/15/2020,1779,137
4,4,5/15/2020,1558,20
5,5,5/15/2020,322,3
6,6,5/15/2020,411,3
7,7,5/15/2020,6422,156
8,8,5/15/2020,603,3
9,9,5/15/2020,225,1
10,10,5/15/2020,413,7
11,11,5/15/2020,1346,95
12,12,5/15/2020,1013,14
13,13,5/15/2020,1834,66
14,14,5/15/2020,4362,455
15,15,5/15/2020,54901,820
16,16,5/15/2020,2254,141
17,17,5/15/2020,187,3
19,19,5/15/2020,185,4
20,20,5/15/2020,2970,313
21,21,5/15/2020,192,1
22,22,5/15/2020,563,7
23,23,5/15/2020,197,2
24,24,5/15/2020,578,59
25,25,5/15/2020,1622,71
1,1,5/16/2020,279,12
2,2,5/16/2020,1971,142
4,4,5/16/2020,1709,20
5,5,5/16/2020,367,3
6,6,5/16/2020,424,3
7,7,5/16/2020,6513,155
8,8,5/16/2020,609,3
9,9,5/16/2020,229,1
10,10,5/16/2020,470,7
11,11,5/16/2020,1412,95
12,12,5/16/2020,1046,14
13,13,5/16/2020,2015,66
14,14,5/16/2020,4596,455
15,15,5/16/2020,57473,857
16,16,5/16/2020,2444,209
17,17,5/16/2020,201,3
19,19,5/16/2020,189,4
20,20,5/16/2020,3032,313
21,21,5/16/2020,201,1
22,22,5/16/2020,598,8
23,23,5/16/2020,208,2
24,24,5/16/2020,603,59
25,25,5/16/2020,1658,91
1,1,5/17/2020,311,15
2,2,5/17/2020,2095,142
4,4,5/17/2020,1839,20
5,5,5/17/2020,403,3
6,6,5/17/2020,429,3
7,7,5/17/2020,6685,160
8,8,5/17/2020,635,3
9,9,5/17/2020,234,1
10,10,5/17/2020,495,7
11,11,5/17/2020,1477,95
12,12,5/17/2020,1098,14
13,13,5/17/2020,2122,66
14,14,5/17/2020,4856,474
15,15,5/17/2020,59712,915
16,16,5/17/2020,2696,248
17,17,5/17/2020,206,3
19,19,5/17/2020,196,4
20,20,5/17/2020,3062,313
21,21,5/17/2020,220,1
22,22,5/17/2020,645,9
23,23,5/17/2020,215,2
24,24,5/17/2020,635,59
25,25,5/17/2020,1709,91
1,1,5/18/2020,317,17
2,2,5/18/2020,2153,158
4,4,5/18/2020,1929,23
5,5,5/18/2020,406,3
6,6,5/18/2020,435,3
7,7,5/18/2020,6782,160
8,8,5/18/2020,626,3
9,9,5/18/2020,242,1
10,10,5/18/2020,504,7
11,11,5/18/2020,1540,102
12,12,5/18/2020,1149,14
13,13,5/18/2020,2324,66
14,14,5/18/2020,4961,485
15,15,5/18/2020,61197,955
16,16,5/18/2020,2811,250
17,17,5/18/2020,204,3
19,19,5/18/2020,211,4
20,20,5/18/2020,3091,370
21,21,5/18/2020,214,1
22,22,5/18/2020,652,12
23,23,5/18/2020,216,2
24,24,5/18/2020,639,59
25,25,5/18/2020,2032,91
1,1,5/19/2020,325,17
2,2,5/19/2020,2226,175
4,4,5/19/2020,1967,25
5,5,5/19/2020,426,3
6,6,5/19/2020,446,3
7,7,5/19/2020,7011,171
8,8,5/19/2020,635,3
9,9,5/19/2020,245,1
10,10,5/19/2020,520,7
11,11,5/19/2020,1669,102
12,12,5/19/2020,1166,14
13,13,5/19/2020,2378,93
14,14,5/19/2020,5182,485
15,15,5/19/2020,64278,1012
16,16,5/19/2020,2960,259
17,17,5/19/2020,247,3
19,19,5/19/2020,229,4
20,20,5/19/2020,3192,370
21,21,5/19/2020,208,1
22,22,5/19/2020,739,12
23,23,5/19/2020,228,4
24,24,5/19/2020,675,59
25,25,5/19/2020,2224,91
1,1,5/20/2020,349,17
2,2,5/20/2020,2354,175
4,4,5/20/2020,2072,25
5,5,5/20/2020,440,3
6,6,5/20/2020,451,3
7,7,5/20/2020,7381,178
8,8,5/20/2020,654,3
9,9,5/20/2020,260,1
10,10,5/20/2020,539,7
11,11,5/20/2020,1769,124
12,12,5/20/2020,1223,14
13,13,5/20/2020,2447,93
14,14,5/20/2020,5409,498
15,15,5/20/2020,67060,1060
16,16,5/20/2020,3085,260
17,17,5/20/2020,259,3
19,19,5/20/2020,231,5
20,20,5/20/2020,3335,384
21,21,5/20/2020,217,1
22,22,5/20/2020,822,13
23,23,5/20/2020,242,4
24,24,5/20/2020,702,62
25,25,5/20/2020,2371,91
1,1,5/21/2020,371,17
2,2,5/21/2020,2466,194
4,4,5/21/2020,2176,25
5,5,5/21/2020,455,3
6,6,5/21/2020,483,3
7,7,5/21/2020,7685,192
8,8,5/21/2020,724,3
9,9,5/21/2020,277,1
10,10,5/21/2020,566,7
11,11,5/21/2020,1905,124
12,12,5/21/2020,1289,14
13,13,5/21/2020,2542,93
14,14,5/21/2020,5581,516
15,15,5/21/2020,70155,1114
16,16,5/21/2020,3166,262
17,17,5/21/2020,265,6
19,19,5/21/2020,249,5
20,20,5/21/2020,3496,385
21,21,5/21/2020,225,1
22,22,5/21/2020,857,13
23,23,5/21/2020,254,4
24,24,5/21/2020,722,62
25,25,5/21/2020,2478,104
